Datetime,WBOU,BRON,BXVNST,QUEE,SUFF,WANT,QNCORO,SOUT,BKBROW,MHLSQR,BEAC,MHMHIL,QNDKIL,BKNYRD,HFAL,QNASTO,QNSOZO,BKMAPL,DOVE,BREW,QNTLCC,MANH,BKLN,QNMASP
2023-10-01 18:00:00,6.065369421331257,14.93567274288596,18.53993273666969,17.090648411550383,11.529073694976711,21.92405677217502,16.75618747295179,36.596209218612906,14.220377700837576,15.03500468338065,10.43197858201332,14.340544726398123,13.865507124257483,,10.782159476575954,12.584933320922392,20.572923717411733,16.07724196383576,12.538494223931185,12.3016117707726,12.100300055309727,15.066430489551992,11.47841507120096,13.74805848771936
2023-10-01 19:00:00,6.292633493155276,13.959164663643293,18.156973807662794,16.52770866365248,9.795827252264548,20.705091907768253,15.999105127297998,36.09326015609437,13.956392299114482,13.364910120865236,9.342091555596046,14.275317482750635,13.145987008246276,,10.591283504619284,11.745414587785389,20.016679972799665,15.714257159797857,11.321139733454572,11.74582641187019,11.72077333863157,13.80551746669677,11.241602731120476,13.13094352871522
2023-10-01 20:00:00,6.365462548041862,12.700028036829234,15.95026892679998,15.106391797769051,10.130295754972378,19.2725193159407,14.872414987769512,35.70768177878464,12.372138677489072,11.367743419956728,9.23721818840554,12.62376754903571,10.897340486019203,,9.793536051769372,10.340370062714335,18.615894009248755,13.638834371664798,10.374529919712922,11.008564310656276,10.198718508860413,11.79255209729314,10.202905359131485,11.495952169973872
2023-10-01 21:00:00,6.6244166306686685,10.99671668516472,14.327043802048864,13.41543019438697,9.997035165671669,15.87996122113006,15.035527313938667,35.69603944588246,10.36572284647096,10.130157829980872,9.051826809768473,11.235679449086213,9.108242548918168,,9.090489523998349,8.965162053454975,16.10728464135883,11.782901528678591,10.072908017707844,9.846518294050608,8.706547164750999,10.19044837032579,8.988392277967934,9.488293636244917
2023-10-01 22:00:00,7.292991102147583,10.707973243185274,15.639417526813656,12.50656857008171,9.847142874831366,15.423604273925058,16.699700016991798,36.506239428710494,9.964166552713891,9.825746440478737,8.946000008442748,11.09272042010318,9.151326179907954,,9.408310085506107,8.792604394995807,14.78038320106957,11.404726038279932,10.229695035557206,9.911562704715385,8.701778429058585,10.18629681290786,8.881034325765336,9.367926559339992
2023-10-01 23:00:00,7.896174068590231,11.47354309356272,14.700995408060203,12.624788623171868,10.043680846438052,15.15833933204948,18.75398027744869,35.08411390652462,10.201685266680656,10.909895824833658,9.65465587939322,11.606450269397794,9.584736941979362,,10.118211113990457,8.707254884857834,14.301641905144963,12.09077902119872,8.839125909322492,10.045535490034933,9.159709984515924,11.07012556755157,9.600507258590737,9.791354757846833
2023-10-02 00:00:00,8.940464625504237,11.351344497349205,13.219632071034662,12.983772614303614,10.667182503081069,13.87960933795145,15.91866731537118,33.50237569587875,10.04643981277972,10.67603507163399,10.348691548842885,11.172361583064482,10.060923999133982,,11.03698071401968,9.307306895264466,14.001235764948715,12.76677047977195,6.325213926474563,10.255508455863572,9.20547205730382,10.98730455326749,10.036956673053169,9.684732636924716
2023-10-02 01:00:00,,11.429729053936049,13.159648874433223,13.112996675339208,10.954586982254504,13.84183601573281,12.915533209838548,30.66310567659701,10.369458191823128,10.624479806911214,10.396583665692436,11.23641555730966,9.824257725156825,,11.293628344494447,9.250263233630433,13.816536995856964,14.505202947383935,8.123362648819947,10.258609348528989,9.028647471461928,10.994119918957322,10.136160554190155,10.190070308714615
2023-10-02 02:00:00,,11.680119825271689,12.418010018873344,12.951448501087215,11.985855223616486,14.399836352274772,13.138163767541489,27.6001185993886,10.57151335180816,11.512455935484208,10.837009014752294,11.042762767719706,9.937400640039494,,10.914927164125109,9.8218712394362,13.448341143225235,13.80322032551821,8.307976710284935,10.335547033518973,9.038415579925363,10.987607435294768,10.53368640383814,10.198117810158053
2023-10-02 03:00:00,,12.013521315065264,12.752461149981391,13.448633888039485,12.823274231149847,13.734730193303214,14.967656528323795,26.57024498239937,10.715669520888628,13.459185436839402,11.097653446596317,11.499511692703752,10.044278691280493,,9.882247825137856,10.139805868655472,14.266366421143978,14.419671209643846,7.325970350672713,10.291044166022347,8.954088926577128,11.779756174574985,10.66128404454484,11.054021908694557
