Datetime,WBOU,BRON,BXVNST,QUEE,SUFF,WANT,QNCORO,SOUT,BKBROW,MHLSQR,BEAC,MHMHIL,QNDKIL,BKNYRD,HFAL,QNASTO,STAT,QNSOZO,BKMAPL,DOVE,BREW,QNTLCC,MANH,BKLN,QNHBEA,QNMASP
2023-08-01 22:00:00,,,232.96640983077936,224.3029208805391,,213.27631694237687,,186.4306503146313,,,201.83445424434504,224.65559329565596,,239.8452403747376,106.50613710984663,,203.1818608644719,358.72363715209246,,193.3814604858544,190.1035215374822,,233.55498679038715,183.22821055938155,270.95600034470624,
2023-08-01 23:00:00,,,261.3408227913773,232.281880787082,,226.3997823848102,,209.53696975449552,,,218.1823001882724,226.0216806291593,,253.4679420442021,139.0971520387697,,206.88692689789823,350.9429588410046,,209.29032457318544,196.44987067697505,,232.28225801092853,228.82884123824667,268.6804651385705,
2023-08-02 00:00:00,,,293.48542154390435,256.69638229284067,,245.4662038483499,,217.3325777420209,,,311.1874175585237,226.12059223246416,,267.13532834445243,139.73099240960173,,255.94641049371785,310.6376629124387,,195.3085795199917,213.67253313847695,,234.5368011227172,247.3659441751824,271.5565552681553,
2023-08-02 01:00:00,,,316.05260356580345,270.2085465359196,,257.21236832781005,,211.3510607889072,,,328.06542518930894,248.92657385198757,,276.073900019131,134.74091390425275,,263.48396965182974,289.2482700350843,,187.9670599429666,212.7942000165241,,243.357994697366,260.8068166816955,267.3136107394601,
2023-08-02 02:00:00,,,295.5049344011373,303.6971885907908,,244.0389822926205,,197.07248116332408,,,313.7162278389509,267.02992295475576,,280.89230972350595,129.93370008260888,,302.7001215435852,347.6029559546746,,177.64449696622154,203.36728354849487,,257.25727245971905,254.18735715740087,291.5365411023704,
2023-08-02 03:00:00,,,283.3056458891374,270.0158317631544,,224.3123660430065,,188.56873564180728,,,298.7473412264938,263.29846953762467,,277.166382182275,120.09725666839589,,318.3029497133743,390.1299511012087,,183.37304060848055,196.22197355622285,,262.4068342998763,232.04891411378907,309.9879220945909,
2023-08-02 04:00:00,,,261.8616119275589,251.52390734501853,,196.2839530599089,,181.92342200660636,,,277.466889748635,248.28880026327016,,280.3622397541269,113.70958251700154,,293.1947197127941,308.10977728929555,,186.6433071770996,192.4421237108808,,263.3383323521126,214.12004763269968,274.0401864965816,
2023-08-02 05:00:00,,,262.7031705676984,235.3816630789903,,208.1183482954212,,166.5817378748784,,,263.3174197637156,234.96085406233743,,266.58176960320714,111.67599576252192,,290.3991768952783,287.65614542252354,,165.24303463363768,189.58543974112143,,244.00479441382248,201.7625171159632,292.05878865051767,
2023-08-02 06:00:00,,,261.2377065021602,231.9198897271943,,212.51674298926147,,152.7391114890858,,,208.5577074543624,247.01373797829893,,269.31190762576745,106.60635521874482,,276.1027435061585,299.979853820508,,154.5597663585107,177.3149695552652,,234.7960535621312,201.9711554361303,277.1472727345513,
2023-08-02 07:00:00,,,243.3755456929142,232.1652738460372,,203.2058307003807,,151.7970104123607,,,191.13819175741924,240.93922615220112,,267.2650434871251,103.57879984197685,,266.78626910587826,303.4363547829207,,142.9676049229826,164.5312838970761,,232.01492733752676,176.0816841039573,285.6728219818074,
2023-08-02 08:00:00,,,238.24583957399608,208.05143277937003,,198.65959631162903,,137.18888728753595,,,197.0546245438589,214.0852741174595,,238.1744505966829,100.638226425493,,244.48675186294685,260.2653564112833,,154.73028300030197,157.852535717183,,192.61342461653425,189.2577896351345,263.810863249544,
2023-08-02 09:00:00,,,240.7267069052745,228.44288555753792,,203.2255915418005,,139.8762183096657,,,203.52752182816823,231.27721838337624,,250.80398517536705,100.91150533762551,,251.1280920453007,272.57619085145524,,144.58379756813656,153.8036750065516,,222.14765928242008,200.72825458412237,270.094313546883,
2023-08-02 10:00:00,,,263.39005470286673,262.8089568438722,,,,153.23109974024572,,,249.49537764434163,257.54754823215774,,278.0503062984099,101.485300590894,,308.91179889151414,319.4668508755255,,154.28962962467273,171.74716312495227,,240.54700789504523,303.0693431928956,310.67957203776115,
2023-08-02 11:00:00,,,262.90464720036783,233.5381971883428,,222.6681934123098,,157.4793474470735,,,266.2678636214835,267.71505724059466,,284.1342861017406,108.4834427646114,,236.67422957784777,308.1815963103866,,167.77989735864594,215.1114088714714,,246.89225896742892,285.85337900813727,299.95453789316105,
2023-08-02 12:00:00,,,223.7940611239948,210.27136782621236,,183.5226381191969,,150.4253871945657,,,160.61244950927204,281.1481862144553,,285.7765457898667,104.93543243263257,,246.6520642628142,271.72371267209377,,161.9995607143569,149.668228376154,,271.4490272035409,230.03331685236805,288.62159191166813,
2023-08-02 13:00:00,,,222.14593924168807,197.04849302943944,,160.56175334827725,,147.34729077494876,,,138.14621306857975,269.17919899666106,,272.95615350942444,68.61086030186402,,223.67289569881277,214.3069645991536,,144.13407693682305,116.0232837065514,,280.0309399811796,132.110615625675,260.9896110828604,
2023-08-02 14:00:00,,,224.07463497756905,153.74739282699636,,151.0083937628687,,144.1695935366796,,,141.15985568978348,249.60311533927117,,269.31885708286336,69.46875182299411,,207.4128423970813,180.1221167656337,,130.33401169634678,126.27847708000752,,255.39771891150036,96.48188577017716,243.3425331873674,
2023-08-02 15:00:00,,,178.53229570108988,145.0888885047257,,164.43754173305513,,173.98358496873857,,,155.65842206711926,245.9256195570016,,245.26311021389705,51.56192379593911,,157.56834384548364,193.03309207354587,,141.77744713722262,146.59643665943736,,210.89095345155323,119.07541281059817,233.59774200135436,
2023-08-02 16:00:00,,,198.4669254248369,169.7965671066541,,169.1175388657499,,165.65113427401053,,,133.21189783337033,233.88820816712692,,218.91087054601323,65.32144923977415,,136.9239814392694,214.62601086042648,,137.0072588781473,147.8268832176045,,200.81417177995223,167.09736327015816,256.3250125220685,
2023-08-02 17:00:00,,,174.91510444733427,185.2836930513921,,200.05595741322784,,162.96816455863387,,,159.85466056415993,213.84931721678996,,222.8574228371181,87.77241390722625,,144.92066207811135,285.7992424420522,,147.20032246817996,162.63915935112675,,207.2288581693515,152.75386597099805,279.23947502330753,
2023-08-02 18:00:00,,,193.7170910093465,188.61566544001684,,254.2867316804714,,170.69551438281692,,,164.05457709654675,220.64091716429783,,210.0458727741044,96.5836066317154,,177.51330689309216,313.91460631137846,,147.91701756721028,170.7156401413054,,223.8962163316245,135.93800044425294,279.0341584813001,
2023-08-02 19:00:00,,,208.94070976593963,199.3414572445085,,253.0529841012389,,167.12071971734338,,,169.3402477697032,226.2131958007708,,222.00806184898408,99.50640414226,,211.5753383578887,294.48407563271377,,174.053118448787,181.04581259854743,,203.91285122147136,156.60501716288812,263.6756510342224,
2023-08-02 20:00:00,,,210.6211869325996,246.7408552903001,,242.3201705623386,,167.90381324929456,,,174.41830081944252,252.69088968046623,,260.9361792552148,105.40265645192927,,240.02516746356824,297.20364474008954,,175.9893641305384,173.66407961209336,,214.55890956312368,149.89384232954413,260.8590860569473,
2023-08-02 21:00:00,,,206.93464326580457,222.40074869437967,,217.91718321310805,,164.49697578295763,,,182.40188424109715,294.70781186689453,,267.36197642196475,106.28933538144308,,251.57568058537825,337.6794910855182,,176.08283736720355,180.19402527228283,,210.450401787022,168.8667667121415,275.392272958342,
2023-08-02 22:00:00,,,231.31692447809937,236.3088121635368,,236.94115210321283,,195.5706502277249,,,185.56131705664612,285.35082176228474,,290.82367084188104,123.7715404110208,,232.30424371058973,363.9433235225106,,293.29856018863745,197.04712471488943,,206.0843258748053,197.96432748178708,271.49820119491767,
2023-08-02 23:00:00,,,342.65572937602127,264.6990440639364,,217.8445711248173,,235.9605107617776,,,205.68200202994723,285.3792341149797,,313.5252316323283,141.50417795021295,,219.1653355352253,364.1932988895959,,277.7797078482991,225.34691482164573,,320.0910570775529,213.5805847881577,260.132522710913,
2023-08-03 00:00:00,,,360.9532418211757,252.6849115976847,,220.45859662058407,,,,,217.7157358152993,267.933776482966,,317.6355585964507,147.80035435139806,,199.6382509224669,345.7536670179645,,304.86395154341915,238.0202657422689,,292.6359675160271,220.0272242550516,253.12691862668223,
